Commentary	Ref	Literature(PubmedID)	value
60°C: about 50% of maximal activity, 80°C: about 80% of maximal activity	331	10689076	60.0-80.0
40°C: about 25% of maximal activity of enzyme from strain W1, about 30% of maximal activity of enzyme from strain W3, 75°C: about 30% of maximal activity, enzyme from strain W1 and W3	332	0	40.0-75.0
40°C: about 20% of maximal activity, 80°C: about 45% of maximal activity	332	0	40.0-80.0
activity range	332	20467831	40.0-90.0
50°C: about 50% of maximal activity, 75°C: about 60% of maximal activity	332	0	50.0-75.0
50°C: about 30% of maximal activity, 80°C: about 20% of maximal activity, enzyme form strain W4	332	0	50.0-80.0
60°C: about 50% of maximal activity, 80°C: about 80% of maximal activity	332	10689076	60.0-80.0
40°C: about 25% of maximal activity of enzyme from strain W1, about 30% of maximal activity of enzyme from strain W3, 75°C: about 30% of maximal activity, enzyme from strain W1 and W3	333	0	40.0-75.0
40°C: about 20% of maximal activity, 80°C: about 45% of maximal activity	333	0	40.0-80.0
activity range	333	20467831	40.0-90.0
50°C: about 50% of maximal activity, 75°C: about 60% of maximal activity	333	0	50.0-75.0
50°C: about 30% of maximal activity, 80°C: about 20% of maximal activity, enzyme form strain W4	333	0	50.0-80.0
60°C: about 50% of maximal activity, 80°C: about 80% of maximal activity	333	10689076	60.0-80.0
40°C: about 25% of maximal activity of enzyme from strain W1, about 30% of maximal activity of enzyme from strain W3, 75°C: about 30% of maximal activity, enzyme from strain W1 and W3	334	0	40.0-75.0
40°C: about 20% of maximal activity, 80°C: about 45% of maximal activity	334	0	40.0-80.0
activity range	334	20467831	40.0-90.0
50°C: about 50% of maximal activity, 75°C: about 60% of maximal activity	334	0	50.0-75.0
50°C: about 30% of maximal activity, 80°C: about 20% of maximal activity, enzyme form strain W4	334	0	50.0-80.0
60°C: about 50% of maximal activity, 80°C: about 80% of maximal activity	334	10689076	60.0-80.0
40°C: about 25% of maximal activity of enzyme from strain W1, about 30% of maximal activity of enzyme from strain W3, 75°C: about 30% of maximal activity, enzyme from strain W1 and W3	335	0	40.0-75.0
40°C: about 20% of maximal activity, 80°C: about 45% of maximal activity	335	0	40.0-80.0
activity range	335	20467831	40.0-90.0
50°C: about 50% of maximal activity, 75°C: about 60% of maximal activity	335	0	50.0-75.0
50°C: about 30% of maximal activity, 80°C: about 20% of maximal activity, enzyme form strain W4	335	0	50.0-80.0
60°C: about 50% of maximal activity, 80°C: about 80% of maximal activity	335	10689076	60.0-80.0
40°C: about 25% of maximal activity of enzyme from strain W1, about 30% of maximal activity of enzyme from strain W3, 75°C: about 30% of maximal activity, enzyme from strain W1 and W3	336	0	40.0-75.0
40°C: about 20% of maximal activity, 80°C: about 45% of maximal activity	336	0	40.0-80.0
activity range	336	20467831	40.0-90.0
50°C: about 50% of maximal activity, 75°C: about 60% of maximal activity	336	0	50.0-75.0
50°C: about 30% of maximal activity, 80°C: about 20% of maximal activity, enzyme form strain W4	336	0	50.0-80.0
60°C: about 50% of maximal activity, 80°C: about 80% of maximal activity	336	10689076	60.0-80.0
40°C: about 25% of maximal activity of enzyme from strain W1, about 30% of maximal activity of enzyme from strain W3, 75°C: about 30% of maximal activity, enzyme from strain W1 and W3	337	0	40.0-75.0
40°C: about 20% of maximal activity, 80°C: about 45% of maximal activity	337	0	40.0-80.0
activity range	337	20467831	40.0-90.0
50°C: about 50% of maximal activity, 75°C: about 60% of maximal activity	337	0	50.0-75.0
50°C: about 30% of maximal activity, 80°C: about 20% of maximal activity, enzyme form strain W4	337	0	50.0-80.0
60°C: about 50% of maximal activity, 80°C: about 80% of maximal activity	337	10689076	60.0-80.0
40°C: about 25% of maximal activity of enzyme from strain W1, about 30% of maximal activity of enzyme from strain W3, 75°C: about 30% of maximal activity, enzyme from strain W1 and W3	338	0	40.0-75.0
40°C: about 20% of maximal activity, 80°C: about 45% of maximal activity	338	0	40.0-80.0
activity range	338	20467831	40.0-90.0
50°C: about 50% of maximal activity, 75°C: about 60% of maximal activity	338	0	50.0-75.0
50°C: about 30% of maximal activity, 80°C: about 20% of maximal activity, enzyme form strain W4	338	0	50.0-80.0
60°C: about 50% of maximal activity, 80°C: about 80% of maximal activity	338	10689076	60.0-80.0
40°C: about 25% of maximal activity of enzyme from strain W1, about 30% of maximal activity of enzyme from strain W3, 75°C: about 30% of maximal activity, enzyme from strain W1 and W3	339	0	40.0-75.0
40°C: about 20% of maximal activity, 80°C: about 45% of maximal activity	339	0	40.0-80.0
activity range	339	20467831	40.0-90.0
50°C: about 50% of maximal activity, 75°C: about 60% of maximal activity	339	0	50.0-75.0
50°C: about 30% of maximal activity, 80°C: about 20% of maximal activity, enzyme form strain W4	339	0	50.0-80.0
60°C: about 50% of maximal activity, 80°C: about 80% of maximal activity	339	10689076	60.0-80.0
40°C: about 25% of maximal activity of enzyme from strain W1, about 30% of maximal activity of enzyme from strain W3, 75°C: about 30% of maximal activity, enzyme from strain W1 and W3	340	0	40.0-75.0
40°C: about 20% of maximal activity, 80°C: about 45% of maximal activity	340	0	40.0-80.0
activity range	340	20467831	40.0-90.0
50°C: about 50% of maximal activity, 75°C: about 60% of maximal activity	340	0	50.0-75.0
50°C: about 30% of maximal activity, 80°C: about 20% of maximal activity, enzyme form strain W4	340	0	50.0-80.0
60°C: about 50% of maximal activity, 80°C: about 80% of maximal activity	340	10689076	60.0-80.0
activity range, inactive at 60°C, temperature profile of recombinant His-tagged wild-type and mutant ezymes, overview	355	19531602	30.0-55.0
activity sharply decreases below 30°C and above 60°C	355	19332293	40.0-50.0
transxylosylation and hydrolysis activities are optimal at temperatures of 60°C and 40°C, respectively	355	18776691	40.0-60.0
activity range, inactive at 60°C, temperature profile of recombinant His-tagged wild-type and mutant ezymes, overview	356	19531602	30.0-55.0
activity sharply decreases below 30°C and above 60°C	356	19332293	40.0-50.0
