Commentary	Ref	Literature(PubmedID)	value
xylanase II, gel filtration	173	18553703	13500.0-14000.0
gel filtration	173	18553704	16500.0
x 	173	23670313	20000.0
SDS-PAGE	173	0	21000.0
x 	173	16091777	23000.0
x 	173	24888408	23000.0
gel filtration	173	19078	24000.0
x 	173	18553705	28000.0
xylanase II, gel filtration	173	455113	31000.0
1 	173	100069532	33000.0
gel filtration	173	100069532	34000.0
xylanase IA and IB, gel filtration	173	455113	50000.0
xylanase I, gel filtration	174	18553703	12000.0
xylanase II, gel filtration	174	18553703	13500.0-14000.0
gel filtration	174	18553704	16500.0
x 	174	23670313	20000.0
SDS-PAGE	174	0	21000.0
x 	174	16091777	23000.0
x 	174	24888408	23000.0
gel filtration	174	19078	24000.0
x 	174	18553705	28000.0
xylanase II, gel filtration	174	455113	31000.0
1 	174	100069532	33000.0
gel filtration	174	100069532	34000.0
xylanase IA and IB, gel filtration	174	455113	50000.0
xylanase I, gel filtration	175	18553703	12000.0
xylanase II, gel filtration	175	18553703	13500.0-14000.0
gel filtration	175	18553704	16500.0
x 	175	23670313	20000.0
SDS-PAGE	175	0	21000.0
x 	175	16091777	23000.0
x 	175	24888408	23000.0
gel filtration	175	19078	24000.0
x 	175	18553705	28000.0
xylanase II, gel filtration	175	455113	31000.0
1 	175	100069532	33000.0
gel filtration	175	100069532	34000.0
xylanase IA and IB, gel filtration	175	455113	50000.0
1 	186	18592516	48000.0
gel filtration	186	18592516	50000.0
1 	187	18592516	48000.0
gel filtration	187	18592516	50000.0
1 	188	18592516	48000.0
gel filtration	188	18592516	50000.0
1 	189	18592516	48000.0
gel filtration	189	18592516	50000.0
gel filtration	225	0	32000.0
equilibrium sedimentation	252	0	18500.0
equilibrium sedimentation	253	0	18500.0
equilibrium sedimentation	254	0	18500.0
equilibrium sedimentation	255	0	18500.0
equilibrium sedimentation	256	0	18500.0
endo-beta-D-xylanase B, gel filtration	258	0	15000.0
SDS-PAGE	258	0	38000.0
endo-beta-D-xylanase A, gel filtration	258	0	85000.0
endo-beta-D-xylanase B, gel filtration	259	0	15000.0
SDS-PAGE	259	0	38000.0
endo-beta-D-xylanase A, gel filtration	259	0	85000.0
endo-beta-D-xylanase B, gel filtration	260	0	15000.0
SDS-PAGE	260	0	38000.0
endo-beta-D-xylanase A, gel filtration	260	0	85000.0
endo-beta-D-xylanase B, gel filtration	261	0	15000.0
SDS-PAGE	261	0	38000.0
endo-beta-D-xylanase A, gel filtration	261	0	85000.0
endo-beta-D-xylanase B, gel filtration	262	0	15000.0
SDS-PAGE	262	0	38000.0
endo-beta-D-xylanase A, gel filtration	262	0	85000.0
endo-beta-D-xylanase B, gel filtration	263	0	15000.0
SDS-PAGE	263	0	38000.0
endo-beta-D-xylanase A, gel filtration	263	0	85000.0
endo-beta-D-xylanase B, gel filtration	264	0	15000.0
SDS-PAGE	264	0	38000.0
endo-beta-D-xylanase A, gel filtration	264	0	85000.0
1 	271	19352037	23000.0
1 	272	19352037	23000.0
1 	273	19352037	23000.0
SDS-PAGE, Xyl I	276	0	23000.0
x 	276	22806794	24000.0
SDS-PAGE	276	0	43000.0
x 	276	25553569	45000.0
SDS-PAGE, Xyl II	276	0	47000.0
SDS-PAGE, Xyl I	277	0	23000.0
x 	277	22806794	24000.0
SDS-PAGE	277	0	43000.0
x 	277	25553569	45000.0
SDS-PAGE, Xyl II	277	0	47000.0
SDS-PAGE, Xyl I	278	0	23000.0
x 	278	22806794	24000.0
SDS-PAGE	278	0	43000.0
x 	278	25553569	45000.0
SDS-PAGE, Xyl II	278	0	47000.0
SDS-PAGE, Xyl I	279	0	23000.0
x 	279	22806794	24000.0
SDS-PAGE	279	0	43000.0
x 	279	25553569	45000.0
SDS-PAGE, Xyl II	279	0	47000.0
SDS-PAGE, Xyl I	280	0	23000.0
x 	280	22806794	24000.0
SDS-PAGE	280	0	43000.0
x 	280	25553569	45000.0
SDS-PAGE, Xyl II	280	0	47000.0
SDS-PAGE, Xyl I	281	0	23000.0
x 	281	22806794	24000.0
SDS-PAGE	281	0	43000.0
x 	281	25553569	45000.0
SDS-PAGE, Xyl II	281	0	47000.0
SDS-PAGE, Xyl I	282	0	23000.0
x 	282	22806794	24000.0
SDS-PAGE	282	0	43000.0
x 	282	25553569	45000.0
SDS-PAGE, Xyl II	282	0	47000.0
X-I, SDS-PAGE	300	16915648	17000.0
SDS-PAGE	300	18065237	20000.0
sequence analysis	300	18612683	23400.0
X-II, SDS-PAGE	300	16915648	40000.0
X-I, SDS-PAGE	301	16915648	17000.0
SDS-PAGE	301	18065237	20000.0
sequence analysis	301	18612683	23400.0
X-II, SDS-PAGE	301	16915648	40000.0
X-I, SDS-PAGE	302	16915648	17000.0
SDS-PAGE	302	18065237	20000.0
sequence analysis	302	18612683	23400.0
X-II, SDS-PAGE	302	16915648	40000.0
X-I, SDS-PAGE	303	16915648	17000.0
SDS-PAGE	303	18065237	20000.0
sequence analysis	303	18612683	23400.0
X-II, SDS-PAGE	303	16915648	40000.0
X-I, SDS-PAGE	304	16915648	17000.0
SDS-PAGE	304	18065237	20000.0
sequence analysis	304	18612683	23400.0
X-II, SDS-PAGE	304	16915648	40000.0
equilibrium sedimentation	316	0	20000.0
equilibrium sedimentation	316	0	20000.0
x 	316	21369910	23000.0
1 	316	0	24000.0
1 	316	0	24000.0
equilibrium sedimentation	317	0	20000.0
equilibrium sedimentation	317	0	20000.0
x 	317	21369910	23000.0
1 	317	0	24000.0
1 	317	0	24000.0
equilibrium sedimentation	318	0	20000.0
equilibrium sedimentation	318	0	20000.0
x 	318	21369910	23000.0
1 	318	0	24000.0
1 	318	0	24000.0
equilibrium sedimentation	319	0	20000.0
equilibrium sedimentation	319	0	20000.0
x 	319	21369910	23000.0
1 	319	0	24000.0
1 	319	0	24000.0
equilibrium sedimentation	320	0	20000.0
equilibrium sedimentation	320	0	20000.0
x 	320	21369910	23000.0
1 	320	0	24000.0
1 	320	0	24000.0
equilibrium sedimentation	321	0	20000.0
equilibrium sedimentation	321	0	20000.0
x 	321	21369910	23000.0
1 	321	0	24000.0
1 	321	0	24000.0
equilibrium sedimentation	322	0	20000.0
equilibrium sedimentation	322	0	20000.0
x 	322	21369910	23000.0
1 	322	0	24000.0
1 	322	0	24000.0
equilibrium sedimentation	323	0	20000.0
equilibrium sedimentation	323	0	20000.0
x 	323	21369910	23000.0
1 	323	0	24000.0
1 	323	0	24000.0
x 	329	19911836	19000.0
x 	329	20467831	20000.0
x 	329	0	21500.0
x 	329	0	22500.0
x 	329	10830514	23000.0
x 	329	15057452	23475.0
x 	329	100536469	24000.0
x 	329	0	44000.0
x 	329	9678255	44700.0
x 	329	9678255	45000.0
enzyme component II from strain W1, gel filtration	329	0	48500.0
enzyme component II from strain W1, gel filtration	329	0	48500.0
1 	329	0	49500.0
1 	329	0	50000.0
enzyme component II from strain W2, gel filtration	329	0	51000.0
enzyme component II from strain W2, gel filtration	329	0	51000.0
1 	329	0	56000.0
x 	329	10689076	99000.0
x 	330	19911836	19000.0
x 	330	20467831	20000.0
x 	330	0	21500.0
x 	330	0	22500.0
x 	330	10830514	23000.0
x 	330	15057452	23475.0
x 	330	100536469	24000.0
x 	330	0	44000.0
x 	330	9678255	44700.0
x 	330	9678255	45000.0
enzyme component II from strain W1, gel filtration	330	0	48500.0
enzyme component II from strain W1, gel filtration	330	0	48500.0
1 	330	0	49500.0
1 	330	0	50000.0
enzyme component II from strain W2, gel filtration	330	0	51000.0
enzyme component II from strain W2, gel filtration	330	0	51000.0
1 	330	0	56000.0
x 	330	10689076	99000.0
x 	331	19911836	19000.0
x 	331	20467831	20000.0
x 	331	0	21500.0
x 	331	0	22500.0
x 	331	10830514	23000.0
x 	331	15057452	23475.0
x 	331	100536469	24000.0
x 	331	0	44000.0
x 	331	9678255	44700.0
x 	331	9678255	45000.0
enzyme component II from strain W1, gel filtration	331	0	48500.0
enzyme component II from strain W1, gel filtration	331	0	48500.0
1 	331	0	49500.0
1 	331	0	50000.0
enzyme component II from strain W2, gel filtration	331	0	51000.0
enzyme component II from strain W2, gel filtration	331	0	51000.0
1 	331	0	56000.0
x 	331	10689076	99000.0
x 	332	19911836	19000.0
x 	332	20467831	20000.0
x 	332	0	21500.0
x 	332	0	22500.0
x 	332	10830514	23000.0
x 	332	15057452	23475.0
x 	332	100536469	24000.0
x 	332	0	44000.0
x 	332	9678255	44700.0
x 	332	9678255	45000.0
enzyme component II from strain W1, gel filtration	332	0	48500.0
enzyme component II from strain W1, gel filtration	332	0	48500.0
1 	332	0	49500.0
1 	332	0	50000.0
enzyme component II from strain W2, gel filtration	332	0	51000.0
enzyme component II from strain W2, gel filtration	332	0	51000.0
1 	332	0	56000.0
x 	332	10689076	99000.0
x 	333	19911836	19000.0
x 	333	20467831	20000.0
x 	333	0	21500.0
x 	333	0	22500.0
x 	333	10830514	23000.0
x 	333	15057452	23475.0
x 	333	100536469	24000.0
x 	333	0	44000.0
x 	333	9678255	44700.0
x 	333	9678255	45000.0
enzyme component II from strain W1, gel filtration	333	0	48500.0
enzyme component II from strain W1, gel filtration	333	0	48500.0
1 	333	0	49500.0
1 	333	0	50000.0
enzyme component II from strain W2, gel filtration	333	0	51000.0
enzyme component II from strain W2, gel filtration	333	0	51000.0
1 	333	0	56000.0
x 	333	10689076	99000.0
x 	334	19911836	19000.0
x 	334	20467831	20000.0
x 	334	0	21500.0
x 	334	0	22500.0
x 	334	10830514	23000.0
x 	334	15057452	23475.0
x 	334	100536469	24000.0
x 	334	0	44000.0
x 	334	9678255	44700.0
x 	334	9678255	45000.0
enzyme component II from strain W1, gel filtration	334	0	48500.0
enzyme component II from strain W1, gel filtration	334	0	48500.0
1 	334	0	49500.0
1 	334	0	50000.0
enzyme component II from strain W2, gel filtration	334	0	51000.0
enzyme component II from strain W2, gel filtration	334	0	51000.0
