Commentary	Substrate	Ref	Literature(PubmedID)	value
reduction, recombinant mutant G37D, 30°C, pH 7.0	NADP+	715	15896805	5.9
oxidation, cosubstrate NADP+, recombinant mutant G37D, 30°C, pH 7.0	Phenylethanol	715	15896805	8.2
oxidation, cosubstrate NAD+, recombinant mutant G37D, 30°C, pH 7.0	Phenylethanol	715	15896805	9.5
reduction, recombinant mutant G37D, 30°C, pH 7.0	NAD+	715	15896805	9.9
cofactor NADH, reduction, recombinant mutant G37Dm 30°C, pH 7.0	acetophenone	715	15896805	35.7
oxidation, recombinant mutant G37D, 30°C, pH 7.0	NADH	715	15896805	36.6
oxidation, recombinant wild-type, 30°C, pH 7.0	NADPH	715	15896805	38.1
cofactor NADPH, reduction, recombinant wild-type, 30°C, pH 7.0	acetophenone	715	15896805	44.5
pH 7.0. 30°C	1,5-pentanediol	874	26923741	5.31
pH 7.0. 30°C	butan-1-ol	874	26923741	7.02
pH 7.0. 30°C	3-methyl-1,5-pentanediol	874	26923741	7.84
pH 7.0. 30°C	NADP+	874	26923741	13.41
pH 11.0, 80°C	ethanol	1088	17294170	14.0
pH 8.0, 80°C	acetaldehyde	1088	17294170	15.0
pH 11.0, 80°C	butanol	1088	17294170	48.0
pH 8.0, 80°C	Butyraldehyde	1088	17294170	48.0
pH 11.0, 80°C	NADP+	1088	17294170	50.0
pH 8.0, 80°C	NADPH	1088	17294170	52.0
80°C, pH not specified in the publication	NAD+	1099	9973342	2.4
80°C, pH not specified in the publication	methylglyoxal	1099	9973342	3.7
80°C, pH not specified in the publication	acetaldehyde	1099	9973342	5.5
80°C, pH not specified in the publication	NADPH	1099	9973342	6.3
80°C, pH not specified in the publication	phenylacetaldehyde	1099	9973342	10.4
80°C, pH not specified in the publication	NADP+	1099	9973342	15.8
80°C, pH not specified in the publication	ethanol	1099	9973342	19.2
80°C, pH not specified in the publication	NAD+	1100	9973342	2.4
80°C, pH not specified in the publication	methylglyoxal	1100	9973342	3.7
80°C, pH not specified in the publication	acetaldehyde	1100	9973342	5.5
80°C, pH not specified in the publication	NADPH	1100	9973342	6.3
80°C, pH not specified in the publication	phenylacetaldehyde	1100	9973342	10.4
80°C, pH not specified in the publication	NADP+	1100	9973342	15.8
80°C, pH not specified in the publication	ethanol	1100	9973342	19.2
80°C, pH not specified in the publication	NAD+	1101	9973342	2.4
80°C, pH not specified in the publication	methylglyoxal	1101	9973342	3.7
