Commentary	Substrate	Ref	Literature(PubmedID)	value
; in 30 mM Tris-HCl (pH 8.0)	acetaldehyde	1309	19411329	157.6
	pentanal	1309	19411329	159.0
in 30 mM Tris-HCl (pH 8.0)	pentanal	1309	19411329	159.1
; in 30 mM Tris-HCl (pH 8.0)	Pentanol	1310	19411329	13.15
; in 30 mM Tris-HCl (pH 8.0)	butanol	1310	19411329	17.05
; in 30 mM Tris-HCl (pH 8.0)	ethanol	1310	19411329	27.35
; in 30 mM Tris-HCl (pH 8.0)	cinnamyl alcohol	1310	19411329	60.78
; in 30 mM Tris-HCl (pH 8.0)	cinnamaldehyde	1310	19411329	107.9
	Butanal	1310	19411329	156.0
in 30 mM Tris-HCl (pH 8.0)	Butanal	1310	19411329	156.6
; in 30 mM Tris-HCl (pH 8.0)	acetaldehyde	1310	19411329	157.6
	pentanal	1310	19411329	159.0
in 30 mM Tris-HCl (pH 8.0)	pentanal	1310	19411329	159.1
mutant W110L, pH 8.9, 50°C	(R)-1-phenyl-2-propanol	1344	24984815	0.008
mutant W110Q, pH 8.9, 50°C	(R)-1-phenyl-2-propanol	1344	24984815	0.025
mutant W110M, pH 8.9, 50°C	(R)-1-phenyl-2-propanol	1344	24984815	0.045
mutant W110I, pH 8.9, 50°C	(R)-1-phenyl-2-propanol	1344	24984815	0.46
mutant W110A, pH 8.9, 50°C	(R)-1-phenyl-2-propanol	1344	24984815	0.56
mutant W110L, pH 8.9, 50°C	(S)-1-phenyl-2-propanol	1344	24984815	0.65
mutant W110V, pH 8.9, 50°C	(R)-1-phenyl-2-propanol	1344	24984815	1.2
mutant W110G, pH 8.9, 50°C	(R)-1-phenyl-2-propanol	1344	24984815	1.4
mutant W110Q, pH 8.9, 50°C	(S)-1-phenyl-2-propanol	1344	24984815	2.3
mutant W110M, pH 8.9, 50°C	(S)-1-phenyl-2-propanol	1344	24984815	4.5
mutant W110G, pH 8.9, 50°C	(S)-1-phenyl-2-propanol	1344	24984815	17.8
mutant W110I, pH 8.9, 50°C	(S)-1-phenyl-2-propanol	1344	24984815	18.8
mutant W110A, pH 8.9, 50°C	(S)-1-phenyl-2-propanol	1344	24984815	31.1
mutant W110V, pH 8.9, 50°C	(S)-1-phenyl-2-propanol	1344	24984815	38.6
mutant W110L, pH 8.9, 50°C	(R)-1-phenyl-2-propanol	1345	24984815	0.008
mutant W110Q, pH 8.9, 50°C	(R)-1-phenyl-2-propanol	1345	24984815	0.025
mutant W110M, pH 8.9, 50°C	(R)-1-phenyl-2-propanol	1345	24984815	0.045
mutant W110I, pH 8.9, 50°C	(R)-1-phenyl-2-propanol	1345	24984815	0.46
mutant W110A, pH 8.9, 50°C	(R)-1-phenyl-2-propanol	1345	24984815	0.56
mutant W110L, pH 8.9, 50°C	(S)-1-phenyl-2-propanol	1345	24984815	0.65
mutant W110V, pH 8.9, 50°C	(R)-1-phenyl-2-propanol	1345	24984815	1.2
mutant W110G, pH 8.9, 50°C	(R)-1-phenyl-2-propanol	1345	24984815	1.4
mutant W110Q, pH 8.9, 50°C	(S)-1-phenyl-2-propanol	1345	24984815	2.3
mutant W110M, pH 8.9, 50°C	(S)-1-phenyl-2-propanol	1345	24984815	4.5
mutant W110G, pH 8.9, 50°C	(S)-1-phenyl-2-propanol	1345	24984815	17.8
mutant W110I, pH 8.9, 50°C	(S)-1-phenyl-2-propanol	1345	24984815	18.8
mutant W110A, pH 8.9, 50°C	(S)-1-phenyl-2-propanol	1345	24984815	31.1
mutant W110V, pH 8.9, 50°C	(S)-1-phenyl-2-propanol	1345	24984815	38.6
mutant W110L, pH 8.9, 50°C	(R)-1-phenyl-2-propanol	1346	24984815	0.008
mutant W110Q, pH 8.9, 50°C	(R)-1-phenyl-2-propanol	1346	24984815	0.025
mutant W110M, pH 8.9, 50°C	(R)-1-phenyl-2-propanol	1346	24984815	0.045
mutant W110I, pH 8.9, 50°C	(R)-1-phenyl-2-propanol	1346	24984815	0.46
mutant W110A, pH 8.9, 50°C	(R)-1-phenyl-2-propanol	1346	24984815	0.56
mutant W110L, pH 8.9, 50°C	(S)-1-phenyl-2-propanol	1346	24984815	0.65
mutant W110V, pH 8.9, 50°C	(R)-1-phenyl-2-propanol	1346	24984815	1.2
mutant W110G, pH 8.9, 50°C	(R)-1-phenyl-2-propanol	1346	24984815	1.4
mutant W110Q, pH 8.9, 50°C	(S)-1-phenyl-2-propanol	1346	24984815	2.3
mutant W110M, pH 8.9, 50°C	(S)-1-phenyl-2-propanol	1346	24984815	4.5
mutant W110G, pH 8.9, 50°C	(S)-1-phenyl-2-propanol	1346	24984815	17.8
mutant W110I, pH 8.9, 50°C	(S)-1-phenyl-2-propanol	1346	24984815	18.8
mutant W110A, pH 8.9, 50°C	(S)-1-phenyl-2-propanol	1346	24984815	31.1
mutant W110V, pH 8.9, 50°C	(S)-1-phenyl-2-propanol	1346	24984815	38.6
pH 10.5, 60°C	NADP+	1361	20418438	0.45
pH 10.5, 60°C	2-propanol	1361	20418438	0.53
pH 10.5, 60°C	D-xylose	1361	20418438	0.7
pH 7.5, 60°C	NADPH	1361	20418438	1.51
pH 7.5, 60°C	Pyruvaldehyde	1361	20418438	2.04
pH 10.5, 60°C	NADP+	1362	20418438	0.45
pH 10.5, 60°C	2-propanol	1362	20418438	0.53
pH 10.5, 60°C	D-xylose	1362	20418438	0.7
pH 7.5, 60°C	NADPH	1362	20418438	1.51
pH 7.5, 60°C	Pyruvaldehyde	1362	20418438	2.04
pH 10.5, 60°C	NADP+	1363	20418438	0.45
pH 10.5, 60°C	2-propanol	1363	20418438	0.53
pH 10.5, 60°C	D-xylose	1363	20418438	0.7
pH 7.5, 60°C	NADPH	1363	20418438	1.51
pH 7.5, 60°C	Pyruvaldehyde	1363	20418438	2.04
recombinant enzyme, with 0.4 mM NADP+ as cosubstrate, in 100 mM EPPS buffer (pH 8.8)	acetaldehyde	1364	19115036	22.9
native enzyme, with 0.4 mM NADP+ as cosubstrate, in 100 mM EPPS buffer (pH 8.8)	acetaldehyde	1364	19115036	23.6
native enzyme, with 90 mM ethanol as cosubstrate, in 100 mM EPPS buffer (pH 8.8); recombinant enzyme, with 90 mM ethanol as cosubstrate, in 100 mM EPPS buffer (pH 8.8)	NADPH	1364	19115036	24.0
recombinant enzyme, with 0.4 mM NADP+ as cosubstrate, in 100 mM EPPS buffer (pH 8.8)	ethanol	1364	19115036	81.0
recombinant enzyme, with 90 mM ethanol as cosubstrate, in 100 mM EPPS buffer (pH 8.8)	NADP+	1364	19115036	81.0
native enzyme, with 0.4 mM NADP+ as cosubstrate, in 100 mM EPPS buffer (pH 8.8)	ethanol	1364	19115036	84.0
native enzyme, with 90 mM ethanol as cosubstrate, in 100 mM EPPS buffer (pH 8.8)	NADP+	1364	19115036	84.0
pH 7.0. 30°C	1,5-pentanediol	1473	26923741	5.31
pH 7.0. 30°C	butan-1-ol	1473	26923741	7.02
pH 7.0. 30°C	3-methyl-1,5-pentanediol	1473	26923741	7.84
pH 7.0. 30°C	NADP+	1473	26923741	13.41
substrate furfural, pH 7.2, 30°C	NADPH	1477	23912116	2.21
substrate furfural, pH 7.2, 30°C	NADH	1477	23912116	2.7
substrate furfural, pH 7.2, 30°C	NADPH	1477	23912116	4.75
substrate furfural, pH 7.2, 30°C	NADH	1477	23912116	6.23
substrate 5-hydroxymethylfurfural, pH 7.2, 30°C	NADPH	1477	23912116	6.5
substrate furfural, pH 7.2, 30°C	NADPH	1479	23912116	2.21
substrate furfural, pH 7.2, 30°C	NADH	1479	23912116	2.7
substrate furfural, pH 7.2, 30°C	NADPH	1479	23912116	4.75
substrate furfural, pH 7.2, 30°C	NADH	1479	23912116	6.23
substrate 5-hydroxymethylfurfural, pH 7.2, 30°C	NADPH	1479	23912116	6.5
recombinant enzyme, with 0.4 mM NADP+ as cosubstrate, in 100 mM EPPS buffer (pH 8.8)	acetaldehyde	1484	19115036	22.9
native enzyme, with 0.4 mM NADP+ as cosubstrate, in 100 mM EPPS buffer (pH 8.8)	acetaldehyde	1484	19115036	23.6
native enzyme, with 90 mM ethanol as cosubstrate, in 100 mM EPPS buffer (pH 8.8); recombinant enzyme, with 90 mM ethanol as cosubstrate, in 100 mM EPPS buffer (pH 8.8)	NADPH	1484	19115036	24.0
recombinant enzyme, with 0.4 mM NADP+ as cosubstrate, in 100 mM EPPS buffer (pH 8.8)	ethanol	1484	19115036	81.0
recombinant enzyme, with 90 mM ethanol as cosubstrate, in 100 mM EPPS buffer (pH 8.8)	NADP+	1484	19115036	81.0
native enzyme, with 0.4 mM NADP+ as cosubstrate, in 100 mM EPPS buffer (pH 8.8)	ethanol	1484	19115036	84.0
native enzyme, with 90 mM ethanol as cosubstrate, in 100 mM EPPS buffer (pH 8.8)	NADP+	1484	19115036	84.0
pH 10.5, 60°C	NADP+	1486	20418438	0.45
pH 10.5, 60°C	2-propanol	1486	20418438	0.53
pH 10.5, 60°C	D-xylose	1486	20418438	0.7
pH 7.5, 60°C	NADPH	1486	20418438	1.51
pH 7.5, 60°C	Pyruvaldehyde	1486	20418438	2.04
cosubstrate: NADPH, pH 7.5, 80°C	acetoin	1491	21515780	142.0
cosubstrate: 2-butanone, pH 7.5, 80°C	NADPH	1491	21515780	158.0
cosubstrate: NADPH, pH 7.5, 80°C	2-butanone	1491	21515780	190.0
cosubstrate: NADPH, pH 7.5, 80°C	diacetyl	1491	21515780	202.0
cosubstrate: NADP+, pH 7.5, 80°C	(2S,3S)-2,3-butanediol	1491	21515780	512.0
cosubstrate: NADP+, pH 7.5, 80°C	(2R,3R)-2,3-butanediol	1491	21515780	740.0
cosubstrate: NADP+, pH 7.5, 80°C	2-butanol	1491	21515780	833.0
cosubstrate: NADP+, pH 7.5, 80°C	meso-2,3-butanediol	1491	21515780	952.0
cosubstrate: 2-butanol, pH 7.5, 80°C	NADP+	1491	21515780	1333.0
80°C, pH not specified in the publication	NAD+	1492	9973342	2.4
80°C, pH not specified in the publication	methylglyoxal	1492	9973342	3.7
80°C, pH not specified in the publication	acetaldehyde	1492	9973342	5.5
80°C, pH not specified in the publication	NADPH	1492	9973342	6.3
80°C, pH not specified in the publication	phenylacetaldehyde	1492	9973342	10.4
80°C, pH not specified in the publication	NADP+	1492	9973342	15.8
80°C, pH not specified in the publication	ethanol	1492	9973342	19.2
	glycerol	1497	16919	0.0283
	Phenylethanol	1497	16919	0.0283
	Propane-1,2-diol	1497	16919	0.0433
	benzylalcohol	1497	16919	0.0733
	phenylethanediol	1497	16919	0.08
	4-Hydroxy-3-methoxybenzyl alcohol	1497	16919	0.148
	p-nitrobenzaldehyde	1497	16919	9.5
	3-Pyridinemethanol	1501	4402936	0.07
	glycerol	1501	4402936	0.612
	L-arabitol	1501	4402936	1.77
	(+)-Camphorquinone	1501	4402936	5.6
	D-glucuronate	1501	4402936	11.6
	D-Lactaldehyde	1501	4402936	13.7
	D-glyceraldehyde	1501	4402936	14.4
	4-cyanobenzaldehyde	1501	4402936	16.6
	4-Pyridinecarboxaldehyde	1501	4402936	19.3
	4-carboxybenzaldehyde	1501	4402936	21.7
	4-nitrobenzaldehyde	1501	4402936	22.0
	3-Pyridinecarboxaldehyde	1501	4402936	26.8
pH 7.0, 37°C	propionaldehyde	1505	18211903	45.1
pH 7.0, 37°C	acetaldehyde	1505	18211903	53.5
pH 7.0, 37°C	butanaldehyde	1505	18211903	59.5
pH 7.0, 37°C	malondialdehyde	1505	18211903	60.1
pH 7.0, 37°C	acrolein	1505	18211903	62.5
pH 7.0, temperature not specified in the publication	Butanal	1512	24265029	20.1
pH 7.0, temperature not specified in the publication	pentanal	1512	24265029	49.2
