Commentary	Ref	Literature(PubmedID)	value
IEF-PAGE	357	https://www.ncbi.nlm.nih.gov/pubmed/?term=18776691	7.5
	357	https://www.ncbi.nlm.nih.gov/pubmed/?term=20075612	9.27
	357	https://www.ncbi.nlm.nih.gov/pubmed/?term=19332293	9.44
alkaline isozyme XylI	358	https://www.brenda-enzymes.org/literature.php?r=655381	4.6 - 4.7
neutral isozyme XylII	358	https://www.brenda-enzymes.org/literature.php?r=655381	7.5
IEF-PAGE	358	https://www.ncbi.nlm.nih.gov/pubmed/?term=18776691	7.5
	358	https://www.ncbi.nlm.nih.gov/pubmed/?term=20075612	9.27
	358	https://www.ncbi.nlm.nih.gov/pubmed/?term=19332293	9.44
alkaline isozyme XylI	359	https://www.brenda-enzymes.org/literature.php?r=655381	4.6 - 4.7
neutral isozyme XylII	359	https://www.brenda-enzymes.org/literature.php?r=655381	7.5
IEF-PAGE	359	https://www.ncbi.nlm.nih.gov/pubmed/?term=18776691	7.5
	359	https://www.ncbi.nlm.nih.gov/pubmed/?term=20075612	9.27
	359	https://www.ncbi.nlm.nih.gov/pubmed/?term=19332293	9.44
alkaline isozyme XylI	360	https://www.brenda-enzymes.org/literature.php?r=655381	4.6 - 4.7
neutral isozyme XylII	360	https://www.brenda-enzymes.org/literature.php?r=655381	7.5
IEF-PAGE	360	https://www.ncbi.nlm.nih.gov/pubmed/?term=18776691	7.5
	360	https://www.ncbi.nlm.nih.gov/pubmed/?term=20075612	9.27
	360	https://www.ncbi.nlm.nih.gov/pubmed/?term=19332293	9.44
alkaline isozyme XylI	361	https://www.brenda-enzymes.org/literature.php?r=655381	4.6 - 4.7
neutral isozyme XylII	361	https://www.brenda-enzymes.org/literature.php?r=655381	7.5
IEF-PAGE	361	https://www.ncbi.nlm.nih.gov/pubmed/?term=18776691	7.5
	361	https://www.ncbi.nlm.nih.gov/pubmed/?term=20075612	9.27
	361	https://www.ncbi.nlm.nih.gov/pubmed/?term=19332293	9.44
alkaline isozyme XylI	362	https://www.brenda-enzymes.org/literature.php?r=655381	4.6 - 4.7
neutral isozyme XylII	362	https://www.brenda-enzymes.org/literature.php?r=655381	7.5
IEF-PAGE	362	https://www.ncbi.nlm.nih.gov/pubmed/?term=18776691	7.5
	362	https://www.ncbi.nlm.nih.gov/pubmed/?term=20075612	9.27
	362	https://www.ncbi.nlm.nih.gov/pubmed/?term=19332293	9.44
alkaline isozyme XylI	363	https://www.brenda-enzymes.org/literature.php?r=655381	4.6 - 4.7
neutral isozyme XylII	363	https://www.brenda-enzymes.org/literature.php?r=655381	7.5
IEF-PAGE	363	https://www.ncbi.nlm.nih.gov/pubmed/?term=18776691	7.5
	363	https://www.ncbi.nlm.nih.gov/pubmed/?term=20075612	9.27
	363	https://www.ncbi.nlm.nih.gov/pubmed/?term=19332293	9.44
alkaline isozyme XylI	364	https://www.brenda-enzymes.org/literature.php?r=655381	4.6 - 4.7
neutral isozyme XylII	364	https://www.brenda-enzymes.org/literature.php?r=655381	7.5
IEF-PAGE	364	https://www.ncbi.nlm.nih.gov/pubmed/?term=18776691	7.5
	364	https://www.ncbi.nlm.nih.gov/pubmed/?term=20075612	9.27
	364	https://www.ncbi.nlm.nih.gov/pubmed/?term=19332293	9.44
isoelectric focusing	442	https://www.ncbi.nlm.nih.gov/pubmed/?term=16404950	9.1
isoelectric focusing	443	https://www.ncbi.nlm.nih.gov/pubmed/?term=16404950	9.1
isoelectric focusing	444	https://www.ncbi.nlm.nih.gov/pubmed/?term=16404950	9.1
isoelectric focusing	445	https://www.ncbi.nlm.nih.gov/pubmed/?term=16404950	9.1
isoelectric focusing	446	https://www.ncbi.nlm.nih.gov/pubmed/?term=16404950	9.1
isoelectric focusing; isoelectric focusing in 5% polyacrylamide gel, pH 3.5-10 Ampholine, 200 V, 50 min, bands visualized with Coomassie brilliant blue G250 or silver staining, standard proteins of pI 3.5-9.3	495	https://www.ncbi.nlm.nih.gov/pubmed/?term=18379842	4.3
isoelectric focusing, wild-type and mutant strain enzyme	495	https://www.brenda-enzymes.org/literature.php?r=655370	6.0
isoelectric focusing; isoelectric focusing in 5% polyacrylamide gel, pH 3.5-10 Ampholine, 200 V, 50 min, bands visualized with Coomassie brilliant blue G250 or silver staining, standard proteins of pI 3.5-9.3	496	https://www.ncbi.nlm.nih.gov/pubmed/?term=18379842	4.3
isoelectric focusing, wild-type and mutant strain enzyme	496	https://www.brenda-enzymes.org/literature.php?r=655370	6.0
isoelectric focusing; isoelectric focusing in 5% polyacrylamide gel, pH 3.5-10 Ampholine, 200 V, 50 min, bands visualized with Coomassie brilliant blue G250 or silver staining, standard proteins of pI 3.5-9.3	497	https://www.ncbi.nlm.nih.gov/pubmed/?term=18379842	4.3
isoelectric focusing, wild-type and mutant strain enzyme	497	https://www.brenda-enzymes.org/literature.php?r=655370	6.0
isoelectric focusing; isoelectric focusing in 5% polyacrylamide gel, pH 3.5-10 Ampholine, 200 V, 50 min, bands visualized with Coomassie brilliant blue G250 or silver staining, standard proteins of pI 3.5-9.3	498	https://www.ncbi.nlm.nih.gov/pubmed/?term=18379842	4.3
isoelectric focusing, wild-type and mutant strain enzyme	498	https://www.brenda-enzymes.org/literature.php?r=655370	6.0
mature enzyme, isoelectric focusing	513	https://www.ncbi.nlm.nih.gov/pubmed/?term=18027102	5.16
mature enzyme, isoelectric focusing	514	https://www.ncbi.nlm.nih.gov/pubmed/?term=18027102	5.16
calculated	720	https://www.ncbi.nlm.nih.gov/pubmed/?term=15629130	6.2
calculated	720	https://www.ncbi.nlm.nih.gov/pubmed/?term=15629130	9.2
calculated	721	https://www.ncbi.nlm.nih.gov/pubmed/?term=15629130	6.2
calculated	721	https://www.ncbi.nlm.nih.gov/pubmed/?term=15629130	9.2
calculated	722	https://www.ncbi.nlm.nih.gov/pubmed/?term=15629130	6.2
calculated	722	https://www.ncbi.nlm.nih.gov/pubmed/?term=15629130	9.2
calculated	723	https://www.ncbi.nlm.nih.gov/pubmed/?term=15629130	6.2
calculated	723	https://www.ncbi.nlm.nih.gov/pubmed/?term=15629130	9.2
calculated	724	https://www.ncbi.nlm.nih.gov/pubmed/?term=15629130	6.2
calculated	724	https://www.ncbi.nlm.nih.gov/pubmed/?term=15629130	9.2
calculated	725	https://www.ncbi.nlm.nih.gov/pubmed/?term=15629130	6.2
calculated	725	https://www.ncbi.nlm.nih.gov/pubmed/?term=15629130	9.2
