Synonyms	EC_Number	Recommended_name
Type II platelet-activating factor-acetylhydrolase	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
PAF-AH	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
serum platelet-activating factor acetylhydrolase	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
phospholipase A2	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
platelet activating factor-acetyl hydrolase	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
PLA2	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
PAF-AH I	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
PAF acetylhydrolase II	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
intracellular platelet-activating factor acetylhydrolase alpha 2	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
intracellular platelet-activating factor acetylhydrolase alpha 2	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
SpV-2	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
SpV-3	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
SpV-5	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
intracellular platelet-activating factor acetylhydrolase alpha 2	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
SpV-1	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
1-O-alkyl-2-acetyl-sn-glycero-3-phosphocholine acetylhydrolase	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
Ca2+-independent phospholipase A2	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
group VII phospholipase A2	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
PAFAH2	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
group VIII phospholipase A2	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
plasma PAF-AH	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
LpPLA2	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
PLA2G7	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
platelet-activating factor acetylhydrolase	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
PAF acetylhydrolase	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
lipoprotein associated phospholipase A2	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
VIIA phospholipase A2	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
lipoprotein-associated PLA2	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
lipoprotein-associated phospholipase A2	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
platelet-activating factor acetyl-hydrolase	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
Lp-PLA2	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
type I platelet-activating factor acetylhydrolase	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
plasma PAF acetylhydrolase	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
plasma platelet-activating factor acetylhydrolase	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
PAFAH	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
aspirin hydrolase	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
platelet-activating factor acetylhydrolase II	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
lipoprotein-associated platelet-activating factor acetylhydrolase	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
plasma platelet - activating factor - acetylhydrolase	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
platelet-activating-factor acetylhydrolase	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
platelet-activating factor acetylhydrolases	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
PAF-acetylhydrolase II	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
plasma lipoprotein-associated phospholipase A2	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
Q86U10 and P6802 and Q1502 {UniProt}	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
SpV-4	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
lipoprotein-PLA2	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
PLA2G7 gene	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
pPAF-AH	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
plasma platelet activating factor acetylhydrolase	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
calcium-independent serine lipase Lp-PLA2	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
type I PAF acetylhydrolase	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
plasma platelet activating factor-acetylhydrolase	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
HpPAF-AH	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
PAF-AH II	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
PAF acetylhydrolase I	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
PAFAH1B2	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
intracellular platelet-activating factor acetylhydrolase alpha 2	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
intracellular platelet-activating factor acetylhydrolase alpha 2	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
More	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
platelet-activating factor acetylhadrolase	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
platelet-activating factor acetylohydrolase	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
platelet activating factor acetylhydrolase	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
platelet activating factor-acetylhydrolase	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
Plg7p	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
group VII PAF acetylhydrolase homolog	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
ornithine esterase	3.1.1.48	fusarinine-C ornithinesterase
esterase, fusarinine C ornithine	3.1.1.48	fusarinine-C ornithinesterase
esterase EstB	3.1.1.48	fusarinine-C ornithinesterase
esterase, sinapine	3.1.1.49	sinapine esterase
aromatic choline esterase	3.1.1.49	sinapine esterase
sinapine esterase	3.1.1.49	sinapine esterase
sinapoylcholine	3.1.1.49	sinapine esterase
SCE	3.1.1.49	sinapine esterase
BnSCE3	3.1.1.49	sinapine esterase
BnLIP2	3.1.1.49	sinapine esterase
BnSCE3/BnLIP2	3.1.1.49	sinapine esterase
lysophosphatidase	3.1.1.5	lysophospholipase
lysolecithinase	3.1.1.5	lysophospholipase
lecitholipase	3.1.1.5	lysophospholipase
lecithinase B	3.1.1.5	lysophospholipase
phosphatidase B	3.1.1.5	lysophospholipase
lysophosphatidylcholine hydrolase	3.1.1.5	lysophospholipase
lysophospholipase A1	3.1.1.5	lysophospholipase
lysophopholipase L2	3.1.1.5	lysophospholipase
Charcot-Leyden crystal protein	3.1.1.5	lysophospholipase
Charcot-Leyden crystal protein homolog	3.1.1.5	lysophospholipase
CLC	3.1.1.5	lysophospholipase
Galactin-10	3.1.1.5	lysophospholipase
Galectin-10	3.1.1.5	lysophospholipase
Lysolecithin acylhydrolase	3.1.1.5	lysophospholipase
ACLysoPL	3.1.1.5	lysophospholipase
lysophosphatidylcholine lysophospholipase	3.1.1.5	lysophospholipase
LPL	3.1.1.5	lysophospholipase
lysophospholipase 2	3.1.1.5	lysophospholipase
lysoPL2	3.1.1.5	lysophospholipase
ExoU	3.1.1.5	lysophospholipase
TesA	3.1.1.5	lysophospholipase
lysophospholipase A	3.1.1.5	lysophospholipase
lysophospholipase-transacylase	3.1.1.5	lysophospholipase
h-LPTA	3.1.1.5	lysophospholipase
Pla	3.1.1.5	lysophospholipase
phospholipase A	3.1.1.5	lysophospholipase
CnPlb1	3.1.1.5	lysophospholipase
phospholipase B1	3.1.1.5	lysophospholipase
LPL1	3.1.1.5	lysophospholipase
PLB1	3.1.1.5	lysophospholipase
VolA	3.1.1.5	lysophospholipase
More	3.1.1.5	lysophospholipase
lysophosphatidylcholine/transacylase	3.1.1.5	lysophospholipase
PLB1 enzyme	3.1.1.5	lysophospholipase
PLB	3.1.1.5	lysophospholipase
CnLYSO1	3.1.1.5	lysophospholipase
LipC	3.1.1.5	lysophospholipase
phospholipase B	3.1.1.5	lysophospholipase
plaA	3.1.1.5	lysophospholipase
CbPlb1	3.1.1.5	lysophospholipase
AfPlb1	3.1.1.5	lysophospholipase
AfPlb2	3.1.1.5	lysophospholipase
AfPlb3	3.1.1.5	lysophospholipase
lysophospholipase 3	3.1.1.5	lysophospholipase
LCAT-like lysophospholipase	3.1.1.5	lysophospholipase
LLPL	3.1.1.5	lysophospholipase
NTE-related esterase	3.1.1.5	lysophospholipase
NRE	3.1.1.5	lysophospholipase
lysoPLA	3.1.1.5	lysophospholipase
eosinophil lysophospholipases	3.1.1.5	lysophospholipase
LPLase	3.1.1.5	lysophospholipase
hLysoPLA	3.1.1.5	lysophospholipase
lysophospholipase	3.1.1.5	lysophospholipase
phospholipase B precursor	3.1.1.5	lysophospholipase
neuropathy target esterase	3.1.1.5	lysophospholipase
NTE	3.1.1.5	lysophospholipase
lysophospholipase 1	3.1.1.5	lysophospholipase
acylprotein thioesterase 1	3.1.1.5	lysophospholipase
lysophospholipase L2	3.1.1.5	lysophospholipase
TAP	3.1.1.5	lysophospholipase
thioesterase I/protease I/lysophospholipase L1	3.1.1.5	lysophospholipase
LysoPL	3.1.1.5	lysophospholipase
eosinophil Charcot-Leyden crystal protein	3.1.1.5	lysophospholipase
hLysoPLA I	3.1.1.5	lysophospholipase
endothelial lipase	3.1.1.5	lysophospholipase
cPLA2gamma	3.1.1.5	lysophospholipase
ASNase1	3.1.1.5	lysophospholipase
lysophospholipase I	3.1.1.5	lysophospholipase
lysophospholipase II	3.1.1.5	lysophospholipase
acyl-protein thioesterase 1	3.1.1.5	lysophospholipase
APT1	3.1.1.5	lysophospholipase
phospholipase B/lipase	3.1.1.5	lysophospholipase
PLB/LIP	3.1.1.5	lysophospholipase
LysoPLA I	3.1.1.5	lysophospholipase
LPLA	3.1.1.5	lysophospholipase
lysophospholipase C	3.1.1.5	lysophospholipase
lysoPLC	3.1.1.5	lysophospholipase
esterase, jojoba wax	3.1.1.50	wax-ester hydrolase
wax ester hydrolase	3.1.1.50	wax-ester hydrolase
WEH	3.1.1.50	wax-ester hydrolase
diacylphorbate 12-hydrolase	3.1.1.51	phorbol-diester hydrolase
phorbol-12,13-diester 12-ester hydrolase	3.1.1.51	phorbol-diester hydrolase
PDE74H	3.1.1.51	phorbol-diester hydrolase
More	3.1.1.51	phorbol-diester hydrolase
phosphatidylinositol phospholipase A2	3.1.1.52	phosphatidylinositol deacylase
phospholipase A2, phosphatidylinositol	3.1.1.52	phosphatidylinositol deacylase
cPLA2alpha	3.1.1.52	phosphatidylinositol deacylase
group IVA cytosolic phospholipase A2alpha	3.1.1.52	phosphatidylinositol deacylase
Sialic acid-specific 9-O-acetylesterase	3.1.1.53	sialate O-acetylesterase
lysosomal sialic acid 9-O-acetylesterase	3.1.1.53	sialate O-acetylesterase
cytosolic sialic acid 9-O-acetylesterase	3.1.1.53	sialate O-acetylesterase
9-O-acetyl sialic acid esterase	3.1.1.53	sialate O-acetylesterase
sialate: O-acetyl esterase	3.1.1.53	sialate O-acetylesterase
sialate-O-acetylesterase	3.1.1.53	sialate O-acetylesterase
SIAE	3.1.1.53	sialate O-acetylesterase
lysosomal sialic acid O-acetylesterase	3.1.1.53	sialate O-acetylesterase
Lse	3.1.1.53	sialate O-acetylesterase
sialic acid O-acetylesterase	3.1.1.53	sialate O-acetylesterase
sialic acid acetyl esterase	3.1.1.53	sialate O-acetylesterase
More	3.1.1.53	sialate O-acetylesterase
sialyl O-acetyl esterase	3.1.1.53	sialate O-acetylesterase
NANS	3.1.1.53	sialate O-acetylesterase
YjhS	3.1.1.53	sialate O-acetylesterase
9-O-acetyl N-acetylneuraminic acid esterase	3.1.1.53	sialate O-acetylesterase
9	3.1.1.53	sialate O-acetylesterase
9-O-acetylsialic acid esterase	3.1.1.53	sialate O-acetylesterase
SOAE	3.1.1.53	sialate O-acetylesterase
hemagglutinin-esterase	3.1.1.53	sialate O-acetylesterase
sialate-4-O-acetylesterase	3.1.1.53	sialate O-acetylesterase
4-SOAE	3.1.1.53	sialate O-acetylesterase
sialate-9-O-acetylesterase	3.1.1.53	sialate O-acetylesterase
9-SOAE	3.1.1.53	sialate O-acetylesterase
sialate-O-acetylesterases	3.1.1.53	sialate O-acetylesterase
HE	3.1.1.53	sialate O-acetylesterase
sialate esterase	3.1.1.53	sialate O-acetylesterase
SsNeuA	3.1.1.53	sialate O-acetylesterase
haemagglutinin esterase	3.1.1.53	sialate O-acetylesterase
O-acetylsialic acid esterase	3.1.1.53	sialate O-acetylesterase
OAE	3.1.1.53	sialate O-acetylesterase
INF-C esterase	3.1.1.53	sialate O-acetylesterase
haemagglutinin esterase fusion	3.1.1.53	sialate O-acetylesterase
HEF	3.1.1.53	sialate O-acetylesterase
BCoVHE	3.1.1.53	sialate O-acetylesterase
hemagglutinin esterase	3.1.1.53	sialate O-acetylesterase
recHE4	3.1.1.53	sialate O-acetylesterase
intralumenal sialate: 9-O-acetylesterase	3.1.1.53	sialate O-acetylesterase
cytosolic sialate:O-acetylesterase	3.1.1.53	sialate O-acetylesterase
CSE	3.1.1.53	sialate O-acetylesterase
sialate 9-O-acetylesterase	3.1.1.53	sialate O-acetylesterase
sialic acid acetylesterase	3.1.1.53	sialate O-acetylesterase
EST	3.1.1.53	sialate O-acetylesterase
acetoxybutynylbithiophene esterase	3.1.1.54	acetoxybutynylbithiophene deacetylase
5-	3.1.1.54	acetoxybutynylbithiophene deacetylase
esterase, aspirin	3.1.1.55	acetylsalicylate deacetylase
acetylsalicylic acid esterase	3.1.1.55	acetylsalicylate deacetylase
aspirin hydrolase	3.1.1.55	acetylsalicylate deacetylase
aspirin esterase	3.1.1.55	acetylsalicylate deacetylase
ASPES	3.1.1.55	acetylsalicylate deacetylase
aspirin esterase I	3.1.1.55	acetylsalicylate deacetylase
aspirin esterase II	3.1.1.55	acetylsalicylate deacetylase
plasma aspirin esterase	3.1.1.55	acetylsalicylate deacetylase
aspirin-esterase	3.1.1.55	acetylsalicylate deacetylase
EsteD	3.1.1.56	methylumbelliferyl-acetate deacetylase
esterase D	3.1.1.56	methylumbelliferyl-acetate deacetylase
ESD	3.1.1.56	methylumbelliferyl-acetate deacetylase
S-formylglutathione hydrolase	3.1.1.56	methylumbelliferyl-acetate deacetylase
SFGH	3.1.1.56	methylumbelliferyl-acetate deacetylase
serine esterase	3.1.1.56	methylumbelliferyl-acetate deacetylase
D-type esterase	3.1.1.56	methylumbelliferyl-acetate deacetylase
serine thioesterase	3.1.1.56	methylumbelliferyl-acetate deacetylase
estD	3.1.1.56	methylumbelliferyl-acetate deacetylase
2-pyrone-4,6-dicarboxylate hydrolase	3.1.1.57	2-pyrone-4,6-dicarboxylate lactonase
PDC hydrolase	3.1.1.57	2-pyrone-4,6-dicarboxylate lactonase
LigI	3.1.1.57	2-pyrone-4,6-dicarboxylate lactonase
2-pyrone-4,6-dicarboxylate lactonase	3.1.1.57	2-pyrone-4,6-dicarboxylate lactonase
Vi-polysaccharide deacetylase	3.1.1.58	N-acetylgalactosaminoglycan deacetylase
deacetylase, polysaccharide	3.1.1.58	N-acetylgalactosaminoglycan deacetylase
N-acetyl galactosaminoglycan deacetylase	3.1.1.58	N-acetylgalactosaminoglycan deacetylase
pdaB	3.1.1.58	N-acetylgalactosaminoglycan deacetylase
ybaN	3.1.1.58	N-acetylgalactosaminoglycan deacetylase
PgaA	3.1.1.58	N-acetylgalactosaminoglycan deacetylase
PDI	3.1.1.58	N-acetylgalactosaminoglycan deacetylase
BC0361	3.1.1.58	N-acetylgalactosaminoglycan deacetylase
polysaccharide de-N-acetylase	3.1.1.58	N-acetylgalactosaminoglycan deacetylase
PgaB	3.1.1.58	N-acetylgalactosaminoglycan deacetylase
de-N-acetylase	3.1.1.58	N-acetylgalactosaminoglycan deacetylase
IcaB	3.1.1.58	N-acetylgalactosaminoglycan deacetylase
beta-1,6-linked N-acetylglucosamine de-N-acetylase	3.1.1.58	N-acetylgalactosaminoglycan deacetylase
PNAG de-N-acetylase	3.1.1.58	N-acetylgalactosaminoglycan deacetylase
HfsH	3.1.1.58	N-acetylgalactosaminoglycan deacetylase
holdfast synthesis protein	3.1.1.58	N-acetylgalactosaminoglycan deacetylase
polysaccharide deacetylase	3.1.1.58	N-acetylgalactosaminoglycan deacetylase
BA0150	3.1.1.58	N-acetylgalactosaminoglycan deacetylase
Esterase, juvenile hormone	3.1.1.59	juvenile-hormone esterase
Juvenile hormone analog esterase	3.1.1.59	juvenile-hormone esterase
Juvenile hormone carboxyesterase	3.1.1.59	juvenile-hormone esterase
JHE	3.1.1.59	juvenile-hormone esterase
Juvenile hormone esterase	3.1.1.59	juvenile-hormone esterase
JH esterase	3.1.1.59	juvenile-hormone esterase
JH III esterase	3.1.1.59	juvenile-hormone esterase
juvenile hormone-selective esterase	3.1.1.59	juvenile-hormone esterase
JH-specific esterase	3.1.1.59	juvenile-hormone esterase
MsJHE	3.1.1.59	juvenile-hormone esterase
EAT43357	3.1.1.59	juvenile-hormone esterase
PhJHE	3.1.1.59	juvenile-hormone esterase
JH-esterase	3.1.1.59	juvenile-hormone esterase
juvenile hormone esterase-like	3.1.1.59	juvenile-hormone esterase
Amjhe-like	3.1.1.59	juvenile-hormone esterase
BmCCE-5	3.1.1.59	juvenile-hormone esterase
Acetic ester hydrolase	3.1.1.6	acetylesterase
C-esterase	3.1.1.6	acetylesterase
Chloroesterase	3.1.1.6	acetylesterase
Citrus acetylesterase	3.1.1.6	acetylesterase
p-nitrophenyl acetate esterase	3.1.1.6	acetylesterase
EST2	3.1.1.6	acetylesterase
HerE	3.1.1.6	acetylesterase
BS2	3.1.1.6	acetylesterase
More	3.1.1.6	acetylesterase
non-specific acetyl esterase	3.1.1.6	acetylesterase
CE16	3.1.1.6	acetylesterase
ACE	3.1.1.6	acetylesterase
TM0077	3.1.1.6	acetylesterase
Aes	3.1.1.6	acetylesterase
acetyl-esterase	3.1.1.6	acetylesterase
Est1	3.1.1.6	acetylesterase
Acetyl	3.1.1.6	acetylesterase
acetic acid esterase	3.1.1.6	acetylesterase
ragi acetic acid esterase	3.1.1.6	acetylesterase
EST-4	3.1.1.6	acetylesterase
alpha/beta-acetylesterase	3.1.1.6	acetylesterase
CE2	3.1.1.6	acetylesterase
6-O-deacetylase	3.1.1.6	acetylesterase
CE2B	3.1.1.6	acetylesterase
CE2C	3.1.1.6	acetylesterase
CE2A	3.1.1.6	acetylesterase
C20orf3	3.1.1.6	acetylesterase
pectin acetylesterase	3.1.1.6	acetylesterase
PAE1	3.1.1.6	acetylesterase
HE	3.1.1.6	acetylesterase
haemagglutinin-esterase	3.1.1.6	acetylesterase
GAE	3.1.1.6	acetylesterase
geranyl acetate cleaving esterase	3.1.1.6	acetylesterase
carbohydrate esterase	3.1.1.6	acetylesterase
Aes1	3.1.1.6	acetylesterase
acetyl xylan esterase	3.1.1.6	acetylesterase
Axe3	3.1.1.6	acetylesterase
acetate ester-hydrolysing esterase	3.1.1.6	acetylesterase
AE	3.1.1.6	acetylesterase
esterase, bis	3.1.1.60	bis(2-ethylhexyl)phthalate esterase
DEHP esterase	3.1.1.60	bis(2-ethylhexyl)phthalate esterase
PME	3.1.1.61	protein-glutamate methylesterase
esterase, protein methyl-	3.1.1.61	protein-glutamate methylesterase
esterase, methyl-accepting chemotaxis protein methyl-	3.1.1.61	protein-glutamate methylesterase
protein carboxyl methylesterase	3.1.1.61	protein-glutamate methylesterase
chemotaxis-specific methylesterase	3.1.1.61	protein-glutamate methylesterase
protein methylesterase	3.1.1.61	protein-glutamate methylesterase
methyl-accepting chemotaxis protein	3.1.1.61	protein-glutamate methylesterase
chemotaxis receptor McpB	3.1.1.61	protein-glutamate methylesterase
CheB	3.1.1.61	protein-glutamate methylesterase
methylesterase CheB	3.1.1.61	protein-glutamate methylesterase
methylesterae CheB	3.1.1.61	protein-glutamate methylesterase
CheB methylesterase	3.1.1.61	protein-glutamate methylesterase
esterase, all-trans-retinol palmitate	3.1.1.64	retinoid isomerohydrolase
retinol isomerase-2	3.1.1.64	retinoid isomerohydrolase
isomerohydrolase	3.1.1.64	retinoid isomerohydrolase
Rpe65	3.1.1.64	retinoid isomerohydrolase
Retinoid isomerase	3.1.1.64	retinoid isomerohydrolase
retinol isomerohydrolase	3.1.1.64	retinoid isomerohydrolase
13-cis isomerohydrolase	3.1.1.64	retinoid isomerohydrolase
13cIMH	3.1.1.64	retinoid isomerohydrolase
all-trans-REH	3.1.1.64	retinoid isomerohydrolase
IMH	3.1.1.64	retinoid isomerohydrolase
RPE isomerase	3.1.1.64	retinoid isomerohydrolase
all-trans-retinyl-palmitate hydrolase	3.1.1.64	retinoid isomerohydrolase
retinol hydrolase	3.1.1.64	retinoid isomerohydrolase
retinoid isomerohydrolase	3.1.1.64	retinoid isomerohydrolase
RPE65c	3.1.1.64	retinoid isomerohydrolase
RPE65a	3.1.1.64	retinoid isomerohydrolase
L-rhamno-gamma-lactonase	3.1.1.65	L-rhamnono-1,4-lactonase
L-rhamnonatedehydratase	3.1.1.65	L-rhamnono-1,4-lactonase
L-rhamnono-gamma-lactonase	3.1.1.65	L-rhamnono-1,4-lactonase
LRA2	3.1.1.65	L-rhamnono-1,4-lactonase
3,4-diacetoxybutinylbithiophene:4-acetate esterase	3.1.1.66	5-(3,4-diacetoxybut-1-ynyl)-2,2'-bithiophene deacetylase
esterase, diacetoxybutynylbithiophene acetate	3.1.1.66	5-(3,4-diacetoxybut-1-ynyl)-2,2'-bithiophene deacetylase
fatty acid ethyl ester synthase	3.1.1.67	fatty-acyl-ethyl-ester synthase
synthase, fatty acid ethyl ester	3.1.1.67	fatty-acyl-ethyl-ester synthase
FAEE synthase	3.1.1.67	fatty-acyl-ethyl-ester synthase
FAEES	3.1.1.67	fatty-acyl-ethyl-ester synthase
xylono-gamma lactonase	3.1.1.68	xylono-1,4-lactonase
xylonolactonase	3.1.1.68	xylono-1,4-lactonase
XylC	3.1.1.68	xylono-1,4-lactonase
D-xylonolactonase	3.1.1.68	xylono-1,4-lactonase
true cholinesterase	3.1.1.7	acetylcholinesterase
esterase, acetyl choline	3.1.1.7	acetylcholinesterase
choline esterase I	3.1.1.7	acetylcholinesterase
acetylthiocholinesterase	3.1.1.7	acetylcholinesterase
acetylcholine esterase	3.1.1.7	acetylcholinesterase
acetylcholine hydrolase	3.1.1.7	acetylcholinesterase
acetyl beta-methylcholinesterase	3.1.1.7	acetylcholinesterase
AcCholE	3.1.1.7	acetylcholinesterase
acetylcholine acetylhydrolase	3.1.1.7	acetylcholinesterase
ACE2	3.1.1.7	acetylcholinesterase
ace2-type acetylcholinesterase	3.1.1.7	acetylcholinesterase
AChE1	3.1.1.7	acetylcholinesterase
AChE2	3.1.1.7	acetylcholinesterase
2,3,4,5,6,7,8,9,10,15,17,20,25,29,31,40,41,42,43,44,45,46,47,55,56,57	3.1.1.7	acetylcholinesterase
cholinesterase 2	3.1.1.7	acetylcholinesterase
ChE2	3.1.1.7	acetylcholinesterase
type VI-S AChE	3.1.1.7	acetylcholinesterase
acetylcholinesterase 2	3.1.1.7	acetylcholinesterase
acetylcholinesterase 1	3.1.1.7	acetylcholinesterase
membrane-bound acetylcholinesterase	3.1.1.7	acetylcholinesterase
acetylcholinesterase	3.1.1.7	acetylcholinesterase
More	3.1.1.7	acetylcholinesterase
ACE-1	3.1.1.7	acetylcholinesterase
acetylcholinesterase-1	3.1.1.7	acetylcholinesterase
cholinesterase	3.1.1.7	acetylcholinesterase
ChE1A	3.1.1.7	acetylcholinesterase
AChE1A	3.1.1.7	acetylcholinesterase
ChE	3.1.1.7	acetylcholinesterase
acetyl cholinesterase	3.1.1.7	acetylcholinesterase
Checx1	3.1.1.7	acetylcholinesterase
Checx2	3.1.1.7	acetylcholinesterase
Checx3	3.1.1.7	acetylcholinesterase
Alkylacetylglycerol acetylhydrolase	3.1.1.71	acetylalkylglycerol acetylhydrolase
Esterase, acetyl	3.1.1.72	acetylxylan esterase
Acetyte esterase	3.1.1.72	acetylxylan esterase
Acetic ester hydrolase	3.1.1.72	acetylxylan esterase
Acetylglucomannan esterase	3.1.1.72	acetylxylan esterase
Acetylnaphthylesterase	3.1.1.72	acetylxylan esterase
C-esterase	3.1.1.72	acetylxylan esterase
Chloroacetate esterase	3.1.1.72	acetylxylan esterase
Chloroesterase	3.1.1.72	acetylxylan esterase
Citrus acetylesterase	3.1.1.72	acetylxylan esterase
Esterase, C-	3.1.1.72	acetylxylan esterase
Heroin esterase	3.1.1.72	acetylxylan esterase
N-Acetylphosphinothricin deacetylase	3.1.1.72	acetylxylan esterase
Naphthal AS-D chloroacetate deacetylase	3.1.1.72	acetylxylan esterase
Versiconal hemiacetal acetate esterase	3.1.1.72	acetylxylan esterase
AoAXE	3.1.1.72	acetylxylan esterase
acetyl	3.1.1.72	acetylxylan esterase
AXE	3.1.1.72	acetylxylan esterase
Axe6A	3.1.1.72	acetylxylan esterase
Axe6B	3.1.1.72	acetylxylan esterase
CE5 AcXE	3.1.1.72	acetylxylan esterase
More	3.1.1.72	acetylxylan esterase
AcXE	3.1.1.72	acetylxylan esterase
acetylxylan esterase	3.1.1.72	acetylxylan esterase
acetyl xylan esterase I	3.1.1.72	acetylxylan esterase
acetyl xylan esterase II	3.1.1.72	acetylxylan esterase
AXE II	3.1.1.72	acetylxylan esterase
AXE I	3.1.1.72	acetylxylan esterase
AXEII	3.1.1.72	acetylxylan esterase
acetylxylan esterase A	3.1.1.72	acetylxylan esterase
acetyl xylan esterase A	3.1.1.72	acetylxylan esterase
AxeA	3.1.1.72	acetylxylan esterase
CE4 AcXE	3.1.1.72	acetylxylan esterase
CE1 AcXE	3.1.1.72	acetylxylan esterase
CE6 AcXE	3.1.1.72	acetylxylan esterase
Acetyl esterase	3.1.1.72	acetylxylan esterase
AE	3.1.1.72	acetylxylan esterase
acetyl	3.1.1.72	acetylxylan esterase
SlCE4	3.1.1.72	acetylxylan esterase
acetyl xylan esterase 1	3.1.1.72	acetylxylan esterase
Axe1	3.1.1.72	acetylxylan esterase
BnaA	3.1.1.72	acetylxylan esterase
xylanase	3.1.1.72	acetylxylan esterase
XynA	3.1.1.72	acetylxylan esterase
alkaline acetyl xylan esterase	3.1.1.72	acetylxylan esterase
acetyl xylan esterase, putative	3.1.1.72	acetylxylan esterase
CtAxe	3.1.1.72	acetylxylan esterase
Vvaxe1	3.1.1.72	acetylxylan esterase
bifunctional acetylxylan esterase/xylanase	3.1.1.72	acetylxylan esterase
XynS20E	3.1.1.72	acetylxylan esterase
Axe2	3.1.1.72	acetylxylan esterase
Axe3	3.1.1.72	acetylxylan esterase
AXE/CAH	3.1.1.72	acetylxylan esterase
acetyl xylan esterase/cephalosporin acetyl hydrolase	3.1.1.72	acetylxylan esterase
acetyl xylan esterase 2	3.1.1.72	acetylxylan esterase
PcAxe2	3.1.1.72	acetylxylan esterase
Est2A	3.1.1.72	acetylxylan esterase
acetyl xylo-oligosaccharide esterase	3.1.1.72	acetylxylan esterase
CA esterase	3.1.1.72	acetylxylan esterase
feruloyl/p-coumaroyl esterase	3.1.1.73	feruloyl esterase
phenolic acid esterase	3.1.1.73	feruloyl esterase
